NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.05084745762711865
Agincourt South-Malvern West,0.0847457627118644
Alderwood,0.0
Annex,0.0847457627118644
Avondale,0.0
Banbury-Don Mills,0.0
Bathurst Manor,0.0847457627118644
Bay-Cloverhill,0.03389830508474576
Bayview Village,0.05084745762711865
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.03389830508474576
Beechborough-Greenbrook,0.11864406779661017
Bendale South,0.06779661016949153
Bendale-Glen Andrew,0.0
Birchcliffe-Cliffside,0.03389830508474576
Black Creek,0.3050847457627119
Blake-Jones,0.01694915254237288
Briar Hill-Belgravia,0.03389830508474576
Bridle Path-Sunnybrook-York Mills,0.11864406779661017
Broadview North,0.0
Brookhaven-Amesbury,0.06779661016949153
Cabbagetown-South St.James Town,0.1016949152542373
Caledonia-Fairbank,0.0
Casa Loma,0.0
Centennial Scarborough,0.0
Church-Wellesley,0.03389830508474576
Clairlea-Birchmount,0.15254237288135594
Clanton Park,0.05084745762711865
Cliffcrest,0.0
Corso Italia-Davenport,0.01694915254237288
Danforth,0.1016949152542373
Danforth East York,0.01694915254237288
Don Valley Village,0.01694915254237288
Dorset Park,0.1016949152542373
Dovercourt Village,0.03389830508474576
Downsview,0.0
Downtown Yonge East,0.1016949152542373
Dufferin Grove,0.03389830508474576
East End-Danforth,0.0
East L'Amoreaux,0.03389830508474576
East Willowdale,0.03389830508474576
Edenbridge-Humber Valley,0.1016949152542373
Eglinton East,0.0847457627118644
Elms-Old Rexdale,0.23728813559322035
Englemount-Lawrence,0.11864406779661017
Eringate-Centennial-West Deane,0.05084745762711865
Etobicoke City Centre,0.03389830508474576
Etobicoke West Mall,0.03389830508474576
Fenside-Parkwoods,0.06779661016949153
Flemingdon Park,0.0847457627118644
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.0
Glenfield-Jane Heights,1.0
Golfdale-Cedarbrae-Woburn,0.2542372881355932
Greenwood-Coxwell,0.01694915254237288
Guildwood,0.0
Harbourfront-CityPlace,0.03389830508474576
Henry Farm,0.01694915254237288
High Park North,0.01694915254237288
High Park-Swansea,0.15254237288135594
Highland Creek,0.0
Hillcrest Village,0.05084745762711865
Humber Bay Shores,0.03389830508474576
Humber Heights-Westmount,0.13559322033898305
Humber Summit,0.0847457627118644
Humbermede,0.15254237288135594
Humewood-Cedarvale,0.0
Ionview,0.0
Islington,0.0
Junction Area,0.0
Junction-Wallace Emerson,0.05084745762711865
Keelesdale-Eglinton West,0.05084745762711865
Kennedy Park,0.0847457627118644
Kensington-Chinatown,0.1864406779661017
Kingsview Village-The Westway,0.0847457627118644
Kingsway South,0.01694915254237288
L'Amoreaux West,0.1694915254237288
Lambton Baby Point,0.0
Lansing-Westgate,0.0
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.05084745762711865
Long Branch,0.0
Malvern East,0.1864406779661017
Malvern West,0.01694915254237288
Maple Leaf,0.0
Markland Wood,0.0
Milliken,0.03389830508474576
Mimico-Queensway,0.0847457627118644
Morningside,0.1694915254237288
Morningside Heights,0.1694915254237288
Moss Park,0.1694915254237288
Mount Dennis,0.03389830508474576
Mount Olive-Silverstone-Jamestown,0.4915254237288136
Mount Pleasant East,0.03389830508474576
New Toronto,0.06779661016949153
Newtonbrook East,0.0
Newtonbrook West,0.03389830508474576
North Riverdale,0.03389830508474576
North St.James Town,0.1016949152542373
North Toronto,0.0
O'Connor-Parkview,0.05084745762711865
Oakdale-Beverley Heights,0.1694915254237288
Oakridge,0.0
Oakwood Village,0.1864406779661017
Old East York,0.0
Palmerston-Little Italy,0.0
Parkwoods-O'Connor Hills,0.01694915254237288
Pelmo Park-Humberlea,0.03389830508474576
Playter Estates-Danforth,0.0
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,0.15254237288135594
Rexdale-Kipling,0.06779661016949153
Rockcliffe-Smythe,0.1016949152542373
Roncesvalles,0.06779661016949153
Rosedale-Moore Park,0.03389830508474576
Runnymede-Bloor West Village,0.0
Rustic,0.1864406779661017
Scarborough Village,0.03389830508474576
South Eglinton-Davisville,0.0
South Parkdale,0.06779661016949153
South Riverdale,0.13559322033898305
St Lawrence-East Bayfront-The Islands,0.0
St.Andrew-Windfields,0.0
Steeles,0.03389830508474576
Stonegate-Queensway,0.05084745762711865
Tam O'Shanter-Sullivan,0.05084745762711865
Taylor-Massey,0.05084745762711865
The Beaches,0.0
Thistletown-Beaumond Heights,0.03389830508474576
Thorncliffe Park,0.15254237288135594
Trinity-Bellwoods,0.01694915254237288
University,0.0
Victoria Village,0.0847457627118644
Wellington Place,0.1016949152542373
West Hill,0.13559322033898305
West Humber-Clairville,0.288135593220339
West Queen West,0.01694915254237288
West Rouge,0.0
Westminster-Branson,0.0
Weston,0.23728813559322035
Weston-Pelham Park,0.06779661016949153
Wexford/Maryvale,0.22033898305084745
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.03389830508474576
Woburn North,0.03389830508474576
Woodbine Corridor,0.03389830508474576
Woodbine-Lumsden,0.0
Wychwood,0.06779661016949153
Yonge-Bay Corridor,0.15254237288135594
Yonge-Doris,0.01694915254237288
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.2033898305084746
Yorkdale-Glen Park,0.3220338983050847
