NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.0
Agincourt South-Malvern West,0.2222222222222222
Alderwood,0.0
Annex,0.13333333333333333
Avondale,0.08888888888888889
Banbury-Don Mills,0.0
Bathurst Manor,0.044444444444444446
Bay-Cloverhill,0.0
Bayview Village,0.08888888888888889
Bayview Woods-Steeles,0.2222222222222222
Bedford Park-Nortown,0.1111111111111111
Beechborough-Greenbrook,0.0
Bendale South,0.08888888888888889
Bendale-Glen Andrew,0.28888888888888886
Birchcliffe-Cliffside,0.044444444444444446
Black Creek,0.5333333333333333
Blake-Jones,0.044444444444444446
Briar Hill-Belgravia,0.1111111111111111
Bridle Path-Sunnybrook-York Mills,0.13333333333333333
Broadview North,0.06666666666666667
Brookhaven-Amesbury,0.4444444444444444
Cabbagetown-South St.James Town,0.1111111111111111
Caledonia-Fairbank,0.044444444444444446
Casa Loma,0.0
Centennial Scarborough,0.044444444444444446
Church-Wellesley,0.13333333333333333
Clairlea-Birchmount,0.3111111111111111
Clanton Park,0.044444444444444446
Cliffcrest,0.0
Corso Italia-Davenport,0.044444444444444446
Danforth,0.17777777777777778
Danforth East York,0.0
Don Valley Village,0.044444444444444446
Dorset Park,0.24444444444444444
Dovercourt Village,0.044444444444444446
Downsview,0.13333333333333333
Downtown Yonge East,0.2222222222222222
Dufferin Grove,0.06666666666666667
East End-Danforth,0.0
East L'Amoreaux,0.28888888888888886
East Willowdale,0.0
Edenbridge-Humber Valley,0.0
Eglinton East,0.5555555555555556
Elms-Old Rexdale,0.15555555555555556
Englemount-Lawrence,0.15555555555555556
Eringate-Centennial-West Deane,0.1111111111111111
Etobicoke City Centre,0.3111111111111111
Etobicoke West Mall,0.044444444444444446
Fenside-Parkwoods,0.08888888888888889
Flemingdon Park,0.4222222222222222
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.28888888888888886
Glenfield-Jane Heights,1.0
Golfdale-Cedarbrae-Woburn,0.4222222222222222
Greenwood-Coxwell,0.0
Guildwood,0.0
Harbourfront-CityPlace,0.2222222222222222
Henry Farm,0.08888888888888889
High Park North,0.0
High Park-Swansea,0.17777777777777778
Highland Creek,0.044444444444444446
Hillcrest Village,0.022222222222222223
Humber Bay Shores,0.0
Humber Heights-Westmount,0.13333333333333333
Humber Summit,0.3333333333333333
Humbermede,0.044444444444444446
Humewood-Cedarvale,0.044444444444444446
Ionview,0.06666666666666667
Islington,0.022222222222222223
Junction Area,0.0
Junction-Wallace Emerson,0.15555555555555556
Keelesdale-Eglinton West,0.06666666666666667
Kennedy Park,0.15555555555555556
Kensington-Chinatown,0.35555555555555557
Kingsview Village-The Westway,0.1111111111111111
Kingsway South,0.0
L'Amoreaux West,0.15555555555555556
Lambton Baby Point,0.044444444444444446
Lansing-Westgate,0.13333333333333333
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.022222222222222223
Little Portugal,0.0
Long Branch,0.08888888888888889
Malvern East,0.26666666666666666
Malvern West,0.13333333333333333
Maple Leaf,0.0
Markland Wood,0.0
Milliken,0.0
Mimico-Queensway,0.17777777777777778
Morningside,0.17777777777777778
Morningside Heights,0.044444444444444446
Moss Park,0.35555555555555557
Mount Dennis,0.26666666666666666
Mount Olive-Silverstone-Jamestown,0.8222222222222222
Mount Pleasant East,0.0
New Toronto,0.06666666666666667
Newtonbrook East,0.022222222222222223
Newtonbrook West,0.0
North Riverdale,0.0
North St.James Town,0.06666666666666667
North Toronto,0.044444444444444446
O'Connor-Parkview,0.13333333333333333
Oakdale-Beverley Heights,0.5333333333333333
Oakridge,0.28888888888888886
Oakwood Village,0.26666666666666666
Old East York,0.0
Palmerston-Little Italy,0.0
Parkwoods-O'Connor Hills,0.0
Pelmo Park-Humberlea,0.15555555555555556
Playter Estates-Danforth,0.1111111111111111
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,0.24444444444444444
Rexdale-Kipling,0.0
Rockcliffe-Smythe,0.4666666666666667
Roncesvalles,0.08888888888888889
Rosedale-Moore Park,0.1111111111111111
Runnymede-Bloor West Village,0.0
Rustic,0.3333333333333333
Scarborough Village,0.15555555555555556
South Eglinton-Davisville,0.0
South Parkdale,0.08888888888888889
South Riverdale,0.24444444444444444
St Lawrence-East Bayfront-The Islands,0.24444444444444444
St.Andrew-Windfields,0.0
Steeles,0.0
Stonegate-Queensway,0.0
Tam O'Shanter-Sullivan,0.0
Taylor-Massey,0.13333333333333333
The Beaches,0.0
Thistletown-Beaumond Heights,0.0
Thorncliffe Park,0.13333333333333333
Trinity-Bellwoods,0.1111111111111111
University,0.044444444444444446
Victoria Village,0.28888888888888886
Wellington Place,0.4666666666666667
West Hill,0.28888888888888886
West Humber-Clairville,0.4888888888888889
West Queen West,0.06666666666666667
West Rouge,0.044444444444444446
Westminster-Branson,0.044444444444444446
Weston,0.35555555555555557
Weston-Pelham Park,0.022222222222222223
Wexford/Maryvale,0.17777777777777778
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.06666666666666667
Woburn North,0.1111111111111111
Woodbine Corridor,0.0
Woodbine-Lumsden,0.0
Wychwood,0.0
Yonge-Bay Corridor,0.1111111111111111
Yonge-Doris,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.4
Yorkdale-Glen Park,0.5111111111111111
