NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.05263157894736842
Agincourt South-Malvern West,0.18421052631578946
Alderwood,0.0
Annex,0.0
Avondale,0.0
Banbury-Don Mills,0.0
Bathurst Manor,0.0
Bay-Cloverhill,0.0
Bayview Village,0.02631578947368421
Bayview Woods-Steeles,0.10526315789473684
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.10526315789473684
Bendale South,0.0
Bendale-Glen Andrew,0.10526315789473684
Birchcliffe-Cliffside,0.07894736842105263
Black Creek,0.7894736842105263
Blake-Jones,0.05263157894736842
Briar Hill-Belgravia,0.15789473684210525
Bridle Path-Sunnybrook-York Mills,0.05263157894736842
Broadview North,0.0
Brookhaven-Amesbury,0.07894736842105263
Cabbagetown-South St.James Town,0.0
Caledonia-Fairbank,0.0
Casa Loma,0.05263157894736842
Centennial Scarborough,0.0
Church-Wellesley,0.0
Clairlea-Birchmount,0.10526315789473684
Clanton Park,0.05263157894736842
Cliffcrest,0.05263157894736842
Corso Italia-Davenport,0.13157894736842105
Danforth,0.0
Danforth East York,0.0
Don Valley Village,0.0
Dorset Park,0.15789473684210525
Dovercourt Village,0.0
Downsview,0.2894736842105263
Downtown Yonge East,0.23684210526315788
Dufferin Grove,0.13157894736842105
East End-Danforth,0.13157894736842105
East L'Amoreaux,0.05263157894736842
East Willowdale,0.05263157894736842
Edenbridge-Humber Valley,0.0
Eglinton East,0.21052631578947367
Elms-Old Rexdale,0.23684210526315788
Englemount-Lawrence,0.3684210526315789
Eringate-Centennial-West Deane,0.05263157894736842
Etobicoke City Centre,0.0
Etobicoke West Mall,0.13157894736842105
Fenside-Parkwoods,0.0
Flemingdon Park,0.15789473684210525
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.05263157894736842
Glenfield-Jane Heights,1.0
Golfdale-Cedarbrae-Woburn,0.3157894736842105
Greenwood-Coxwell,0.02631578947368421
Guildwood,0.05263157894736842
Harbourfront-CityPlace,0.18421052631578946
Henry Farm,0.10526315789473684
High Park North,0.02631578947368421
High Park-Swansea,0.05263157894736842
Highland Creek,0.10526315789473684
Hillcrest Village,0.0
Humber Bay Shores,0.0
Humber Heights-Westmount,0.02631578947368421
Humber Summit,0.3157894736842105
Humbermede,0.15789473684210525
Humewood-Cedarvale,0.0
Ionview,0.0
Islington,0.07894736842105263
Junction Area,0.05263157894736842
Junction-Wallace Emerson,0.13157894736842105
Keelesdale-Eglinton West,0.0
Kennedy Park,0.10526315789473684
Kensington-Chinatown,0.13157894736842105
Kingsview Village-The Westway,0.23684210526315788
Kingsway South,0.0
L'Amoreaux West,0.07894736842105263
Lambton Baby Point,0.0
Lansing-Westgate,0.0
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.0
Long Branch,0.10526315789473684
Malvern East,0.10526315789473684
Malvern West,0.2894736842105263
Maple Leaf,0.0
Markland Wood,0.05263157894736842
Milliken,0.15789473684210525
Mimico-Queensway,0.0
Morningside,0.39473684210526316
Morningside Heights,0.2894736842105263
Moss Park,0.07894736842105263
Mount Dennis,0.05263157894736842
Mount Olive-Silverstone-Jamestown,0.42105263157894735
Mount Pleasant East,0.0
New Toronto,0.0
Newtonbrook East,0.0
Newtonbrook West,0.0
North Riverdale,0.0
North St.James Town,0.05263157894736842
North Toronto,0.0
O'Connor-Parkview,0.07894736842105263
Oakdale-Beverley Heights,0.2631578947368421
Oakridge,0.15789473684210525
Oakwood Village,0.13157894736842105
Old East York,0.05263157894736842
Palmerston-Little Italy,0.0
Parkwoods-O'Connor Hills,0.10526315789473684
Pelmo Park-Humberlea,0.05263157894736842
Playter Estates-Danforth,0.07894736842105263
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,0.10526315789473684
Rexdale-Kipling,0.02631578947368421
Rockcliffe-Smythe,0.34210526315789475
Roncesvalles,0.05263157894736842
Rosedale-Moore Park,0.05263157894736842
Runnymede-Bloor West Village,0.02631578947368421
Rustic,0.23684210526315788
Scarborough Village,0.2631578947368421
South Eglinton-Davisville,0.0
South Parkdale,0.05263157894736842
South Riverdale,0.15789473684210525
St Lawrence-East Bayfront-The Islands,0.18421052631578946
St.Andrew-Windfields,0.07894736842105263
Steeles,0.0
Stonegate-Queensway,0.02631578947368421
Tam O'Shanter-Sullivan,0.18421052631578946
Taylor-Massey,0.2631578947368421
The Beaches,0.05263157894736842
Thistletown-Beaumond Heights,0.05263157894736842
Thorncliffe Park,0.3684210526315789
Trinity-Bellwoods,0.10526315789473684
University,0.0
Victoria Village,0.02631578947368421
Wellington Place,0.3684210526315789
West Hill,0.2631578947368421
West Humber-Clairville,0.2894736842105263
West Queen West,0.07894736842105263
West Rouge,0.05263157894736842
Westminster-Branson,0.15789473684210525
Weston,0.3157894736842105
Weston-Pelham Park,0.07894736842105263
Wexford/Maryvale,0.02631578947368421
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.05263157894736842
Woburn North,0.34210526315789475
Woodbine Corridor,0.0
Woodbine-Lumsden,0.0
Wychwood,0.07894736842105263
Yonge-Bay Corridor,0.3684210526315789
Yonge-Doris,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.13157894736842105
Yorkdale-Glen Park,0.4473684210526316
