NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.09090909090909091
Agincourt South-Malvern West,0.18181818181818182
Alderwood,0.13636363636363635
Annex,0.045454545454545456
Avondale,0.045454545454545456
Banbury-Don Mills,0.18181818181818182
Bathurst Manor,0.0
Bay-Cloverhill,0.09090909090909091
Bayview Village,0.36363636363636365
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.09090909090909091
Bendale South,0.13636363636363635
Bendale-Glen Andrew,0.4090909090909091
Birchcliffe-Cliffside,0.0
Black Creek,0.5454545454545454
Blake-Jones,0.0
Briar Hill-Belgravia,0.09090909090909091
Bridle Path-Sunnybrook-York Mills,0.18181818181818182
Broadview North,0.0
Brookhaven-Amesbury,0.2727272727272727
Cabbagetown-South St.James Town,0.0
Caledonia-Fairbank,0.0
Casa Loma,0.0
Centennial Scarborough,0.18181818181818182
Church-Wellesley,0.0
Clairlea-Birchmount,0.13636363636363635
Clanton Park,0.0
Cliffcrest,0.4090909090909091
Corso Italia-Davenport,0.0
Danforth,0.2727272727272727
Danforth East York,0.0
Don Valley Village,0.0
Dorset Park,0.22727272727272727
Dovercourt Village,0.0
Downsview,0.45454545454545453
Downtown Yonge East,0.22727272727272727
Dufferin Grove,0.045454545454545456
East End-Danforth,0.45454545454545453
East L'Amoreaux,0.0
East Willowdale,0.0
Edenbridge-Humber Valley,0.0
Eglinton East,0.2727272727272727
Elms-Old Rexdale,0.36363636363636365
Englemount-Lawrence,0.0
Eringate-Centennial-West Deane,0.045454545454545456
Etobicoke City Centre,0.09090909090909091
Etobicoke West Mall,0.18181818181818182
Fenside-Parkwoods,0.0
Flemingdon Park,0.3181818181818182
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.2727272727272727
Glenfield-Jane Heights,0.6818181818181818
Golfdale-Cedarbrae-Woburn,0.2727272727272727
Greenwood-Coxwell,0.0
Guildwood,0.0
Harbourfront-CityPlace,0.45454545454545453
Henry Farm,0.09090909090909091
High Park North,0.0
High Park-Swansea,0.0
Highland Creek,0.045454545454545456
Hillcrest Village,0.045454545454545456
Humber Bay Shores,0.18181818181818182
Humber Heights-Westmount,0.18181818181818182
Humber Summit,0.36363636363636365
Humbermede,0.13636363636363635
Humewood-Cedarvale,0.045454545454545456
Ionview,0.0
Islington,0.09090909090909091
Junction Area,0.09090909090909091
Junction-Wallace Emerson,0.0
Keelesdale-Eglinton West,0.13636363636363635
Kennedy Park,0.045454545454545456
Kensington-Chinatown,0.22727272727272727
Kingsview Village-The Westway,0.2727272727272727
Kingsway South,0.0
L'Amoreaux West,0.3181818181818182
Lambton Baby Point,0.0
Lansing-Westgate,0.18181818181818182
Lawrence Park North,0.09090909090909091
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.0
Long Branch,0.0
Malvern East,0.18181818181818182
Malvern West,0.36363636363636365
Maple Leaf,0.09090909090909091
Markland Wood,0.0
Milliken,0.0
Mimico-Queensway,0.0
Morningside,0.09090909090909091
Morningside Heights,0.0
Moss Park,0.5
Mount Dennis,0.09090909090909091
Mount Olive-Silverstone-Jamestown,1.0
Mount Pleasant East,0.0
New Toronto,0.09090909090909091
Newtonbrook East,0.18181818181818182
Newtonbrook West,0.36363636363636365
North Riverdale,0.0
North St.James Town,0.18181818181818182
North Toronto,0.0
O'Connor-Parkview,0.13636363636363635
Oakdale-Beverley Heights,0.2727272727272727
Oakridge,0.3181818181818182
Oakwood Village,0.2727272727272727
Old East York,0.09090909090909091
Palmerston-Little Italy,0.045454545454545456
Parkwoods-O'Connor Hills,0.0
Pelmo Park-Humberlea,0.0
Playter Estates-Danforth,0.2727272727272727
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,0.5909090909090909
Rexdale-Kipling,0.18181818181818182
Rockcliffe-Smythe,0.13636363636363635
Roncesvalles,0.13636363636363635
Rosedale-Moore Park,0.09090909090909091
Runnymede-Bloor West Village,0.0
Rustic,0.5
Scarborough Village,0.09090909090909091
South Eglinton-Davisville,0.09090909090909091
South Parkdale,0.18181818181818182
South Riverdale,0.4090909090909091
St Lawrence-East Bayfront-The Islands,0.0
St.Andrew-Windfields,0.18181818181818182
Steeles,0.0
Stonegate-Queensway,0.0
Tam O'Shanter-Sullivan,0.13636363636363635
Taylor-Massey,0.09090909090909091
The Beaches,0.0
Thistletown-Beaumond Heights,0.09090909090909091
Thorncliffe Park,0.09090909090909091
Trinity-Bellwoods,0.13636363636363635
University,0.0
Victoria Village,0.09090909090909091
Wellington Place,0.5909090909090909
West Hill,0.6363636363636364
West Humber-Clairville,0.22727272727272727
West Queen West,0.0
West Rouge,0.0
Westminster-Branson,0.0
Weston,0.2727272727272727
Weston-Pelham Park,0.13636363636363635
Wexford/Maryvale,0.3181818181818182
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.4090909090909091
Woburn North,0.22727272727272727
Woodbine Corridor,0.18181818181818182
Woodbine-Lumsden,0.045454545454545456
Wychwood,0.09090909090909091
Yonge-Bay Corridor,0.22727272727272727
Yonge-Doris,0.045454545454545456
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.5454545454545454
Yorkdale-Glen Park,0.7727272727272727
