NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.0
Agincourt South-Malvern West,0.08333333333333333
Alderwood,0.2916666666666667
Annex,0.0
Avondale,0.0
Banbury-Don Mills,0.08333333333333333
Bathurst Manor,0.0
Bay-Cloverhill,0.0
Bayview Village,0.08333333333333333
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.041666666666666664
Bendale South,0.041666666666666664
Bendale-Glen Andrew,0.16666666666666666
Birchcliffe-Cliffside,0.0
Black Creek,0.375
Blake-Jones,0.0
Briar Hill-Belgravia,0.08333333333333333
Bridle Path-Sunnybrook-York Mills,0.0
Broadview North,0.16666666666666666
Brookhaven-Amesbury,0.3333333333333333
Cabbagetown-South St.James Town,0.0
Caledonia-Fairbank,0.0
Casa Loma,0.0
Centennial Scarborough,0.0
Church-Wellesley,0.2916666666666667
Clairlea-Birchmount,0.3333333333333333
Clanton Park,0.20833333333333334
Cliffcrest,0.0
Corso Italia-Davenport,0.08333333333333333
Danforth,0.08333333333333333
Danforth East York,0.0
Don Valley Village,0.125
Dorset Park,0.25
Dovercourt Village,0.0
Downsview,0.0
Downtown Yonge East,0.4166666666666667
Dufferin Grove,0.2916666666666667
East End-Danforth,0.16666666666666666
East L'Amoreaux,0.041666666666666664
East Willowdale,0.08333333333333333
Edenbridge-Humber Valley,0.041666666666666664
Eglinton East,0.16666666666666666
Elms-Old Rexdale,0.2916666666666667
Englemount-Lawrence,0.25
Eringate-Centennial-West Deane,0.4583333333333333
Etobicoke City Centre,0.125
Etobicoke West Mall,0.375
Fenside-Parkwoods,0.041666666666666664
Flemingdon Park,0.375
Forest Hill North,0.08333333333333333
Forest Hill South,0.0
Fort York-Liberty Village,0.16666666666666666
Glenfield-Jane Heights,0.875
Golfdale-Cedarbrae-Woburn,0.4166666666666667
Greenwood-Coxwell,0.16666666666666666
Guildwood,0.0
Harbourfront-CityPlace,0.4166666666666667
Henry Farm,0.08333333333333333
High Park North,0.0
High Park-Swansea,0.08333333333333333
Highland Creek,0.0
Hillcrest Village,0.041666666666666664
Humber Bay Shores,0.16666666666666666
Humber Heights-Westmount,0.375
Humber Summit,0.6666666666666666
Humbermede,0.4166666666666667
Humewood-Cedarvale,0.041666666666666664
Ionview,0.16666666666666666
Islington,0.0
Junction Area,0.0
Junction-Wallace Emerson,0.20833333333333334
Keelesdale-Eglinton West,0.16666666666666666
Kennedy Park,0.125
Kensington-Chinatown,0.625
Kingsview Village-The Westway,0.20833333333333334
Kingsway South,0.0
L'Amoreaux West,0.25
Lambton Baby Point,0.0
Lansing-Westgate,0.25
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.0
Long Branch,0.0
Malvern East,0.7083333333333334
Malvern West,0.3333333333333333
Maple Leaf,0.20833333333333334
Markland Wood,0.0
Milliken,0.20833333333333334
Mimico-Queensway,0.0
Morningside,0.3333333333333333
Morningside Heights,0.25
Moss Park,0.4166666666666667
Mount Dennis,0.041666666666666664
Mount Olive-Silverstone-Jamestown,0.375
Mount Pleasant East,0.0
New Toronto,0.08333333333333333
Newtonbrook East,0.125
Newtonbrook West,0.0
North Riverdale,0.0
North St.James Town,0.08333333333333333
North Toronto,0.041666666666666664
O'Connor-Parkview,0.3333333333333333
Oakdale-Beverley Heights,0.3333333333333333
Oakridge,0.0
Oakwood Village,0.625
Old East York,0.041666666666666664
Palmerston-Little Italy,0.0
Parkwoods-O'Connor Hills,0.125
Pelmo Park-Humberlea,0.3333333333333333
Playter Estates-Danforth,0.0
Pleasant View,0.0
Princess-Rosethorn,0.08333333333333333
Regent Park,0.8333333333333334
Rexdale-Kipling,0.375
Rockcliffe-Smythe,0.3333333333333333
Roncesvalles,0.08333333333333333
Rosedale-Moore Park,0.20833333333333334
Runnymede-Bloor West Village,0.041666666666666664
Rustic,0.4166666666666667
Scarborough Village,0.4583333333333333
South Eglinton-Davisville,0.0
South Parkdale,0.125
South Riverdale,0.16666666666666666
St Lawrence-East Bayfront-The Islands,0.16666666666666666
St.Andrew-Windfields,0.0
Steeles,0.041666666666666664
Stonegate-Queensway,0.041666666666666664
Tam O'Shanter-Sullivan,0.25
Taylor-Massey,0.16666666666666666
The Beaches,0.16666666666666666
Thistletown-Beaumond Heights,0.08333333333333333
Thorncliffe Park,0.4583333333333333
Trinity-Bellwoods,0.0
University,0.0
Victoria Village,0.20833333333333334
Wellington Place,0.4583333333333333
West Hill,0.125
West Humber-Clairville,0.5833333333333334
West Queen West,0.25
West Rouge,0.125
Westminster-Branson,0.041666666666666664
Weston,0.125
Weston-Pelham Park,0.25
Wexford/Maryvale,0.125
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.25
Woburn North,0.2916666666666667
Woodbine Corridor,0.0
Woodbine-Lumsden,0.0
Wychwood,0.041666666666666664
Yonge-Bay Corridor,0.16666666666666666
Yonge-Doris,0.08333333333333333
Yonge-Eglinton,0.16666666666666666
Yonge-St.Clair,0.041666666666666664
York University Heights,0.875
Yorkdale-Glen Park,1.0
