NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.07692307692307693
Agincourt South-Malvern West,0.05128205128205128
Alderwood,0.23076923076923078
Annex,0.15384615384615385
Avondale,0.0
Banbury-Don Mills,0.0
Bathurst Manor,0.0
Bay-Cloverhill,0.0
Bayview Village,0.0
Bayview Woods-Steeles,0.05128205128205128
Bedford Park-Nortown,0.05128205128205128
Beechborough-Greenbrook,0.07692307692307693
Bendale South,0.1282051282051282
Bendale-Glen Andrew,0.4358974358974359
Birchcliffe-Cliffside,0.0
Black Creek,0.6923076923076923
Blake-Jones,0.07692307692307693
Briar Hill-Belgravia,0.1282051282051282
Bridle Path-Sunnybrook-York Mills,0.0
Broadview North,0.0
Brookhaven-Amesbury,0.23076923076923078
Cabbagetown-South St.James Town,0.05128205128205128
Caledonia-Fairbank,0.05128205128205128
Casa Loma,0.0
Centennial Scarborough,0.0
Church-Wellesley,0.0
Clairlea-Birchmount,0.0
Clanton Park,0.02564102564102564
Cliffcrest,0.15384615384615385
Corso Italia-Davenport,0.05128205128205128
Danforth,0.0
Danforth East York,0.0
Don Valley Village,0.3076923076923077
Dorset Park,0.38461538461538464
Dovercourt Village,0.05128205128205128
Downsview,0.07692307692307693
Downtown Yonge East,0.4358974358974359
Dufferin Grove,0.02564102564102564
East End-Danforth,0.1794871794871795
East L'Amoreaux,0.1282051282051282
East Willowdale,0.07692307692307693
Edenbridge-Humber Valley,0.10256410256410256
Eglinton East,0.3076923076923077
Elms-Old Rexdale,0.07692307692307693
Englemount-Lawrence,0.8461538461538461
Eringate-Centennial-West Deane,0.05128205128205128
Etobicoke City Centre,0.05128205128205128
Etobicoke West Mall,0.0
Fenside-Parkwoods,0.1282051282051282
Flemingdon Park,0.41025641025641024
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.07692307692307693
Glenfield-Jane Heights,1.0
Golfdale-Cedarbrae-Woburn,0.07692307692307693
Greenwood-Coxwell,0.23076923076923078
Guildwood,0.0
Harbourfront-CityPlace,0.0
Henry Farm,0.02564102564102564
High Park North,0.0
High Park-Swansea,0.1282051282051282
Highland Creek,0.0
Hillcrest Village,0.05128205128205128
Humber Bay Shores,0.07692307692307693
Humber Heights-Westmount,0.10256410256410256
Humber Summit,0.23076923076923078
Humbermede,0.3076923076923077
Humewood-Cedarvale,0.0
Ionview,0.0
Islington,0.1282051282051282
Junction Area,0.0
Junction-Wallace Emerson,0.1794871794871795
Keelesdale-Eglinton West,0.05128205128205128
Kennedy Park,0.02564102564102564
Kensington-Chinatown,0.7948717948717948
Kingsview Village-The Westway,0.48717948717948717
Kingsway South,0.0
L'Amoreaux West,0.2564102564102564
Lambton Baby Point,0.02564102564102564
Lansing-Westgate,0.0
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.07692307692307693
Little Portugal,0.0
Long Branch,0.02564102564102564
Malvern East,0.3333333333333333
Malvern West,0.23076923076923078
Maple Leaf,0.05128205128205128
Markland Wood,0.0
Milliken,0.28205128205128205
Mimico-Queensway,0.15384615384615385
Morningside,0.20512820512820512
Morningside Heights,0.3333333333333333
Moss Park,0.5384615384615384
Mount Dennis,0.3076923076923077
Mount Olive-Silverstone-Jamestown,0.38461538461538464
Mount Pleasant East,0.0
New Toronto,0.15384615384615385
Newtonbrook East,0.07692307692307693
Newtonbrook West,0.10256410256410256
North Riverdale,0.07692307692307693
North St.James Town,0.07692307692307693
North Toronto,0.0
O'Connor-Parkview,0.1794871794871795
Oakdale-Beverley Heights,0.15384615384615385
Oakridge,0.15384615384615385
Oakwood Village,0.38461538461538464
Old East York,0.0
Palmerston-Little Italy,0.02564102564102564
Parkwoods-O'Connor Hills,0.07692307692307693
Pelmo Park-Humberlea,0.07692307692307693
Playter Estates-Danforth,0.48717948717948717
Pleasant View,0.05128205128205128
Princess-Rosethorn,0.0
Regent Park,0.2564102564102564
Rexdale-Kipling,0.0
Rockcliffe-Smythe,0.4358974358974359
Roncesvalles,0.1794871794871795
Rosedale-Moore Park,0.0
Runnymede-Bloor West Village,0.0
Rustic,0.6153846153846154
Scarborough Village,0.15384615384615385
South Eglinton-Davisville,0.0
South Parkdale,0.15384615384615385
South Riverdale,0.20512820512820512
St Lawrence-East Bayfront-The Islands,0.23076923076923078
St.Andrew-Windfields,0.07692307692307693
Steeles,0.0
Stonegate-Queensway,0.0
Tam O'Shanter-Sullivan,0.05128205128205128
Taylor-Massey,0.0
The Beaches,0.02564102564102564
Thistletown-Beaumond Heights,0.07692307692307693
Thorncliffe Park,0.3333333333333333
Trinity-Bellwoods,0.1794871794871795
University,0.05128205128205128
Victoria Village,0.28205128205128205
Wellington Place,0.5384615384615384
West Hill,0.7435897435897436
West Humber-Clairville,0.6666666666666666
West Queen West,0.0
West Rouge,0.4358974358974359
Westminster-Branson,0.05128205128205128
Weston,0.3333333333333333
Weston-Pelham Park,0.10256410256410256
Wexford/Maryvale,0.358974358974359
Willowdale West,0.02564102564102564
Willowridge-Martingrove-Richview,0.15384615384615385
Woburn North,0.0
Woodbine Corridor,0.1282051282051282
Woodbine-Lumsden,0.0
Wychwood,0.1282051282051282
Yonge-Bay Corridor,0.0
Yonge-Doris,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.6153846153846154
Yorkdale-Glen Park,0.5897435897435898
