NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.0
Agincourt South-Malvern West,0.24242424242424243
Alderwood,0.0
Annex,0.06060606060606061
Avondale,0.06060606060606061
Banbury-Don Mills,0.06060606060606061
Bathurst Manor,0.0
Bay-Cloverhill,0.0
Bayview Village,0.0
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.30303030303030304
Bendale South,0.09090909090909091
Bendale-Glen Andrew,0.12121212121212122
Birchcliffe-Cliffside,0.0
Black Creek,0.30303030303030304
Blake-Jones,0.24242424242424243
Briar Hill-Belgravia,0.12121212121212122
Bridle Path-Sunnybrook-York Mills,0.0
Broadview North,0.0
Brookhaven-Amesbury,0.21212121212121213
Cabbagetown-South St.James Town,0.030303030303030304
Caledonia-Fairbank,0.0
Casa Loma,0.0
Centennial Scarborough,0.06060606060606061
Church-Wellesley,0.0
Clairlea-Birchmount,0.18181818181818182
Clanton Park,0.0
Cliffcrest,0.30303030303030304
Corso Italia-Davenport,0.12121212121212122
Danforth,0.06060606060606061
Danforth East York,0.0
Don Valley Village,0.0
Dorset Park,0.36363636363636365
Dovercourt Village,0.09090909090909091
Downsview,0.09090909090909091
Downtown Yonge East,0.5757575757575758
Dufferin Grove,0.0
East End-Danforth,0.09090909090909091
East L'Amoreaux,0.18181818181818182
East Willowdale,0.09090909090909091
Edenbridge-Humber Valley,0.12121212121212122
Eglinton East,0.18181818181818182
Elms-Old Rexdale,0.42424242424242425
Englemount-Lawrence,0.5454545454545454
Eringate-Centennial-West Deane,0.0
Etobicoke City Centre,0.0
Etobicoke West Mall,0.0
Fenside-Parkwoods,0.15151515151515152
Flemingdon Park,0.3939393939393939
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.0
Glenfield-Jane Heights,1.0
Golfdale-Cedarbrae-Woburn,0.5757575757575758
Greenwood-Coxwell,0.0
Guildwood,0.0
Harbourfront-CityPlace,0.12121212121212122
Henry Farm,0.15151515151515152
High Park North,0.0
High Park-Swansea,0.09090909090909091
Highland Creek,0.0
Hillcrest Village,0.030303030303030304
Humber Bay Shores,0.15151515151515152
Humber Heights-Westmount,0.21212121212121213
Humber Summit,0.3333333333333333
Humbermede,0.18181818181818182
Humewood-Cedarvale,0.0
Ionview,0.0
Islington,0.06060606060606061
Junction Area,0.0
Junction-Wallace Emerson,0.15151515151515152
Keelesdale-Eglinton West,0.15151515151515152
Kennedy Park,0.15151515151515152
Kensington-Chinatown,0.45454545454545453
Kingsview Village-The Westway,0.15151515151515152
Kingsway South,0.0
L'Amoreaux West,0.18181818181818182
Lambton Baby Point,0.06060606060606061
Lansing-Westgate,0.12121212121212122
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.12121212121212122
Long Branch,0.0
Malvern East,0.18181818181818182
Malvern West,0.3939393939393939
Maple Leaf,0.09090909090909091
Markland Wood,0.0
Milliken,0.18181818181818182
Mimico-Queensway,0.0
Morningside,0.09090909090909091
Morningside Heights,0.09090909090909091
Moss Park,0.5151515151515151
Mount Dennis,0.3939393939393939
Mount Olive-Silverstone-Jamestown,0.18181818181818182
Mount Pleasant East,0.0
New Toronto,0.15151515151515152
Newtonbrook East,0.0
Newtonbrook West,0.06060606060606061
North Riverdale,0.0
North St.James Town,0.21212121212121213
North Toronto,0.0
O'Connor-Parkview,0.06060606060606061
Oakdale-Beverley Heights,0.45454545454545453
Oakridge,0.36363636363636365
Oakwood Village,0.21212121212121213
Old East York,0.12121212121212122
Palmerston-Little Italy,0.09090909090909091
Parkwoods-O'Connor Hills,0.0
Pelmo Park-Humberlea,0.18181818181818182
Playter Estates-Danforth,0.0
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,0.18181818181818182
Rexdale-Kipling,0.12121212121212122
Rockcliffe-Smythe,0.48484848484848486
Roncesvalles,0.0
Rosedale-Moore Park,0.030303030303030304
Runnymede-Bloor West Village,0.0
Rustic,0.42424242424242425
Scarborough Village,0.12121212121212122
South Eglinton-Davisville,0.06060606060606061
South Parkdale,0.2727272727272727
South Riverdale,0.15151515151515152
St Lawrence-East Bayfront-The Islands,0.24242424242424243
St.Andrew-Windfields,0.0
Steeles,0.12121212121212122
Stonegate-Queensway,0.15151515151515152
Tam O'Shanter-Sullivan,0.3333333333333333
Taylor-Massey,0.06060606060606061
The Beaches,0.0
Thistletown-Beaumond Heights,0.18181818181818182
Thorncliffe Park,0.15151515151515152
Trinity-Bellwoods,0.12121212121212122
University,0.12121212121212122
Victoria Village,0.06060606060606061
Wellington Place,0.42424242424242425
West Hill,0.3939393939393939
West Humber-Clairville,0.2727272727272727
West Queen West,0.12121212121212122
West Rouge,0.0
Westminster-Branson,0.0
Weston,0.18181818181818182
Weston-Pelham Park,0.18181818181818182
Wexford/Maryvale,0.12121212121212122
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.15151515151515152
Woburn North,0.06060606060606061
Woodbine Corridor,0.0
Woodbine-Lumsden,0.0
Wychwood,0.0
Yonge-Bay Corridor,0.5151515151515151
Yonge-Doris,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.18181818181818182
Yorkdale-Glen Park,0.48484848484848486
