NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.0
Agincourt South-Malvern West,0.27586206896551724
Alderwood,0.06896551724137931
Annex,0.06896551724137931
Avondale,0.0
Banbury-Don Mills,0.13793103448275862
Bathurst Manor,0.0
Bay-Cloverhill,0.10344827586206896
Bayview Village,0.0
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.1724137931034483
Bendale South,0.13793103448275862
Bendale-Glen Andrew,0.27586206896551724
Birchcliffe-Cliffside,0.0
Black Creek,0.5862068965517241
Blake-Jones,0.0
Briar Hill-Belgravia,0.13793103448275862
Bridle Path-Sunnybrook-York Mills,0.0
Broadview North,0.034482758620689655
Brookhaven-Amesbury,0.1724137931034483
Cabbagetown-South St.James Town,0.06896551724137931
Caledonia-Fairbank,0.10344827586206896
Casa Loma,0.0
Centennial Scarborough,0.0
Church-Wellesley,0.06896551724137931
Clairlea-Birchmount,0.27586206896551724
Clanton Park,0.1724137931034483
Cliffcrest,0.13793103448275862
Corso Italia-Davenport,0.20689655172413793
Danforth,0.06896551724137931
Danforth East York,0.0
Don Valley Village,0.0
Dorset Park,0.2413793103448276
Dovercourt Village,0.06896551724137931
Downsview,0.20689655172413793
Downtown Yonge East,0.27586206896551724
Dufferin Grove,0.0
East End-Danforth,0.20689655172413793
East L'Amoreaux,0.06896551724137931
East Willowdale,0.06896551724137931
Edenbridge-Humber Valley,0.0
Eglinton East,0.2413793103448276
Elms-Old Rexdale,0.13793103448275862
Englemount-Lawrence,0.2413793103448276
Eringate-Centennial-West Deane,0.13793103448275862
Etobicoke City Centre,0.13793103448275862
Etobicoke West Mall,0.20689655172413793
Fenside-Parkwoods,0.06896551724137931
Flemingdon Park,0.896551724137931
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.0
Glenfield-Jane Heights,0.7241379310344828
Golfdale-Cedarbrae-Woburn,0.27586206896551724
Greenwood-Coxwell,0.06896551724137931
Guildwood,0.10344827586206896
Harbourfront-CityPlace,0.06896551724137931
Henry Farm,0.0
High Park North,0.0
High Park-Swansea,0.034482758620689655
Highland Creek,0.0
Hillcrest Village,0.06896551724137931
Humber Bay Shores,0.06896551724137931
Humber Heights-Westmount,0.3793103448275862
Humber Summit,0.3103448275862069
Humbermede,0.41379310344827586
Humewood-Cedarvale,0.06896551724137931
Ionview,0.06896551724137931
Islington,0.0
Junction Area,0.0
Junction-Wallace Emerson,0.2413793103448276
Keelesdale-Eglinton West,0.0
Kennedy Park,0.0
Kensington-Chinatown,0.27586206896551724
Kingsview Village-The Westway,0.3793103448275862
Kingsway South,0.0
L'Amoreaux West,0.3103448275862069
Lambton Baby Point,0.1724137931034483
Lansing-Westgate,0.034482758620689655
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.034482758620689655
Long Branch,0.06896551724137931
Malvern East,0.2413793103448276
Malvern West,0.20689655172413793
Maple Leaf,0.10344827586206896
Markland Wood,0.0
Milliken,0.0
Mimico-Queensway,0.0
Morningside,0.13793103448275862
Morningside Heights,0.3448275862068966
Moss Park,0.2413793103448276
Mount Dennis,0.13793103448275862
Mount Olive-Silverstone-Jamestown,1.0
Mount Pleasant East,0.0
New Toronto,0.20689655172413793
Newtonbrook East,0.2413793103448276
Newtonbrook West,0.0
North Riverdale,0.034482758620689655
North St.James Town,0.2413793103448276
North Toronto,0.06896551724137931
O'Connor-Parkview,0.06896551724137931
Oakdale-Beverley Heights,0.20689655172413793
Oakridge,0.27586206896551724
Oakwood Village,0.3103448275862069
Old East York,0.10344827586206896
Palmerston-Little Italy,0.0
Parkwoods-O'Connor Hills,0.20689655172413793
Pelmo Park-Humberlea,0.10344827586206896
Playter Estates-Danforth,0.0
Pleasant View,0.0
Princess-Rosethorn,0.10344827586206896
Regent Park,0.20689655172413793
Rexdale-Kipling,0.034482758620689655
Rockcliffe-Smythe,0.10344827586206896
Roncesvalles,0.06896551724137931
Rosedale-Moore Park,0.0
Runnymede-Bloor West Village,0.0
Rustic,0.2413793103448276
Scarborough Village,0.2413793103448276
South Eglinton-Davisville,0.0
South Parkdale,0.20689655172413793
South Riverdale,0.20689655172413793
St Lawrence-East Bayfront-The Islands,0.13793103448275862
St.Andrew-Windfields,0.10344827586206896
Steeles,0.034482758620689655
Stonegate-Queensway,0.0
Tam O'Shanter-Sullivan,0.034482758620689655
Taylor-Massey,0.13793103448275862
The Beaches,0.06896551724137931
Thistletown-Beaumond Heights,0.0
Thorncliffe Park,0.06896551724137931
Trinity-Bellwoods,0.0
University,0.0
Victoria Village,0.0
Wellington Place,0.10344827586206896
West Hill,0.27586206896551724
West Humber-Clairville,0.20689655172413793
West Queen West,0.0
West Rouge,0.0
Westminster-Branson,0.0
Weston,0.20689655172413793
Weston-Pelham Park,0.20689655172413793
Wexford/Maryvale,0.1724137931034483
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.10344827586206896
Woburn North,0.27586206896551724
Woodbine Corridor,0.0
Woodbine-Lumsden,0.0
Wychwood,0.0
Yonge-Bay Corridor,0.06896551724137931
Yonge-Doris,0.0
Yonge-Eglinton,0.13793103448275862
Yonge-St.Clair,0.0
York University Heights,0.4827586206896552
Yorkdale-Glen Park,0.5862068965517241
