NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.0
Agincourt South-Malvern West,0.225
Alderwood,0.0
Annex,0.125
Avondale,0.0
Banbury-Don Mills,0.175
Bathurst Manor,0.0
Bay-Cloverhill,0.0
Bayview Village,0.075
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.075
Bendale South,0.0
Bendale-Glen Andrew,0.075
Birchcliffe-Cliffside,0.0
Black Creek,0.675
Blake-Jones,0.05
Briar Hill-Belgravia,0.0
Bridle Path-Sunnybrook-York Mills,0.075
Broadview North,0.05
Brookhaven-Amesbury,0.075
Cabbagetown-South St.James Town,0.075
Caledonia-Fairbank,0.0
Casa Loma,0.0
Centennial Scarborough,0.05
Church-Wellesley,0.05
Clairlea-Birchmount,0.275
Clanton Park,0.0
Cliffcrest,0.05
Corso Italia-Davenport,0.1
Danforth,0.1
Danforth East York,0.05
Don Valley Village,0.025
Dorset Park,0.5
Dovercourt Village,0.0
Downsview,0.1
Downtown Yonge East,0.35
Dufferin Grove,0.025
East End-Danforth,0.15
East L'Amoreaux,0.025
East Willowdale,0.025
Edenbridge-Humber Valley,0.125
Eglinton East,0.1
Elms-Old Rexdale,0.275
Englemount-Lawrence,0.15
Eringate-Centennial-West Deane,0.075
Etobicoke City Centre,0.075
Etobicoke West Mall,0.225
Fenside-Parkwoods,0.2
Flemingdon Park,0.275
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.0
Glenfield-Jane Heights,0.75
Golfdale-Cedarbrae-Woburn,0.225
Greenwood-Coxwell,0.175
Guildwood,0.075
Harbourfront-CityPlace,0.0
Henry Farm,0.1
High Park North,0.0
High Park-Swansea,0.075
Highland Creek,0.05
Hillcrest Village,0.025
Humber Bay Shores,0.0
Humber Heights-Westmount,0.075
Humber Summit,0.325
Humbermede,0.25
Humewood-Cedarvale,0.0
Ionview,0.075
Islington,0.125
Junction Area,0.0
Junction-Wallace Emerson,0.25
Keelesdale-Eglinton West,0.15
Kennedy Park,0.0
Kensington-Chinatown,0.325
Kingsview Village-The Westway,0.1
Kingsway South,0.0
L'Amoreaux West,0.475
Lambton Baby Point,0.1
Lansing-Westgate,0.075
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.0
Long Branch,0.075
Malvern East,0.425
Malvern West,0.175
Maple Leaf,0.05
Markland Wood,0.05
Milliken,0.05
Mimico-Queensway,0.0
Morningside,0.225
Morningside Heights,0.05
Moss Park,0.275
Mount Dennis,0.2
Mount Olive-Silverstone-Jamestown,1.0
Mount Pleasant East,0.05
New Toronto,0.0
Newtonbrook East,0.0
Newtonbrook West,0.0
North Riverdale,0.05
North St.James Town,0.375
North Toronto,0.0
O'Connor-Parkview,0.025
Oakdale-Beverley Heights,0.325
Oakridge,0.15
Oakwood Village,0.2
Old East York,0.1
Palmerston-Little Italy,0.0
Parkwoods-O'Connor Hills,0.075
Pelmo Park-Humberlea,0.125
Playter Estates-Danforth,0.0
Pleasant View,0.0
Princess-Rosethorn,0.15
Regent Park,0.225
Rexdale-Kipling,0.025
Rockcliffe-Smythe,0.4
Roncesvalles,0.175
Rosedale-Moore Park,0.0
Runnymede-Bloor West Village,0.0
Rustic,0.25
Scarborough Village,0.1
South Eglinton-Davisville,0.05
South Parkdale,0.125
South Riverdale,0.15
St Lawrence-East Bayfront-The Islands,0.075
St.Andrew-Windfields,0.0
Steeles,0.05
Stonegate-Queensway,0.025
Tam O'Shanter-Sullivan,0.1
Taylor-Massey,0.05
The Beaches,0.025
Thistletown-Beaumond Heights,0.05
Thorncliffe Park,0.1
Trinity-Bellwoods,0.05
University,0.0
Victoria Village,0.125
Wellington Place,0.15
West Hill,0.375
West Humber-Clairville,0.375
West Queen West,0.0
West Rouge,0.175
Westminster-Branson,0.0
Weston,0.3
Weston-Pelham Park,0.25
Wexford/Maryvale,0.3
Willowdale West,0.05
Willowridge-Martingrove-Richview,0.3
Woburn North,0.125
Woodbine Corridor,0.0
Woodbine-Lumsden,0.025
Wychwood,0.05
Yonge-Bay Corridor,0.1
Yonge-Doris,0.025
Yonge-Eglinton,0.05
Yonge-St.Clair,0.0
York University Heights,0.15
Yorkdale-Glen Park,0.275
