NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.07142857142857142
Agincourt South-Malvern West,0.10714285714285714
Alderwood,0.0
Annex,0.0
Avondale,0.0
Banbury-Don Mills,0.14285714285714285
Bathurst Manor,0.0
Bay-Cloverhill,0.07142857142857142
Bayview Village,0.0
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.14285714285714285
Bendale South,0.0
Bendale-Glen Andrew,0.32142857142857145
Birchcliffe-Cliffside,0.0
Black Creek,0.9642857142857143
Blake-Jones,0.0
Briar Hill-Belgravia,0.07142857142857142
Bridle Path-Sunnybrook-York Mills,0.10714285714285714
Broadview North,0.0
Brookhaven-Amesbury,0.25
Cabbagetown-South St.James Town,0.03571428571428571
Caledonia-Fairbank,0.07142857142857142
Casa Loma,0.0
Centennial Scarborough,0.0
Church-Wellesley,0.07142857142857142
Clairlea-Birchmount,0.21428571428571427
Clanton Park,0.0
Cliffcrest,0.0
Corso Italia-Davenport,0.0
Danforth,0.0
Danforth East York,0.10714285714285714
Don Valley Village,0.25
Dorset Park,0.17857142857142858
Dovercourt Village,0.07142857142857142
Downsview,0.32142857142857145
Downtown Yonge East,0.0
Dufferin Grove,0.0
East End-Danforth,0.25
East L'Amoreaux,0.10714285714285714
East Willowdale,0.0
Edenbridge-Humber Valley,0.0
Eglinton East,0.6428571428571429
Elms-Old Rexdale,0.03571428571428571
Englemount-Lawrence,0.42857142857142855
Eringate-Centennial-West Deane,0.0
Etobicoke City Centre,0.17857142857142858
Etobicoke West Mall,0.0
Fenside-Parkwoods,0.07142857142857142
Flemingdon Park,0.32142857142857145
Forest Hill North,0.07142857142857142
Forest Hill South,0.0
Fort York-Liberty Village,0.10714285714285714
Glenfield-Jane Heights,1.0
Golfdale-Cedarbrae-Woburn,0.7857142857142857
Greenwood-Coxwell,0.17857142857142858
Guildwood,0.0
Harbourfront-CityPlace,0.07142857142857142
Henry Farm,0.0
High Park North,0.0
High Park-Swansea,0.14285714285714285
Highland Creek,0.0
Hillcrest Village,0.0
Humber Bay Shores,0.07142857142857142
Humber Heights-Westmount,0.07142857142857142
Humber Summit,0.32142857142857145
Humbermede,0.17857142857142858
Humewood-Cedarvale,0.0
Ionview,0.0
Islington,0.0
Junction Area,0.17857142857142858
Junction-Wallace Emerson,0.07142857142857142
Keelesdale-Eglinton West,0.07142857142857142
Kennedy Park,0.03571428571428571
Kensington-Chinatown,0.17857142857142858
Kingsview Village-The Westway,0.14285714285714285
Kingsway South,0.0
L'Amoreaux West,0.2857142857142857
Lambton Baby Point,0.07142857142857142
Lansing-Westgate,0.07142857142857142
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.07142857142857142
Little Portugal,0.25
Long Branch,0.0
Malvern East,0.21428571428571427
Malvern West,0.17857142857142858
Maple Leaf,0.0
Markland Wood,0.07142857142857142
Milliken,0.21428571428571427
Mimico-Queensway,0.0
Morningside,0.07142857142857142
Morningside Heights,0.14285714285714285
Moss Park,0.35714285714285715
Mount Dennis,0.0
Mount Olive-Silverstone-Jamestown,0.5
Mount Pleasant East,0.10714285714285714
New Toronto,0.07142857142857142
Newtonbrook East,0.0
Newtonbrook West,0.0
North Riverdale,0.0
North St.James Town,0.07142857142857142
North Toronto,0.0
O'Connor-Parkview,0.07142857142857142
Oakdale-Beverley Heights,0.35714285714285715
Oakridge,0.25
Oakwood Village,0.6785714285714286
Old East York,0.0
Palmerston-Little Italy,0.03571428571428571
Parkwoods-O'Connor Hills,0.0
Pelmo Park-Humberlea,0.14285714285714285
Playter Estates-Danforth,0.07142857142857142
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,0.17857142857142858
Rexdale-Kipling,0.17857142857142858
Rockcliffe-Smythe,0.39285714285714285
Roncesvalles,0.14285714285714285
Rosedale-Moore Park,0.0
Runnymede-Bloor West Village,0.0
Rustic,0.17857142857142858
Scarborough Village,0.17857142857142858
South Eglinton-Davisville,0.0
South Parkdale,0.5714285714285714
South Riverdale,0.21428571428571427
St Lawrence-East Bayfront-The Islands,0.0
St.Andrew-Windfields,0.0
Steeles,0.0
Stonegate-Queensway,0.03571428571428571
Tam O'Shanter-Sullivan,0.21428571428571427
Taylor-Massey,0.14285714285714285
The Beaches,0.03571428571428571
Thistletown-Beaumond Heights,0.21428571428571427
Thorncliffe Park,0.0
Trinity-Bellwoods,0.14285714285714285
University,0.21428571428571427
Victoria Village,0.2857142857142857
Wellington Place,0.39285714285714285
West Hill,0.42857142857142855
West Humber-Clairville,0.5357142857142857
West Queen West,0.21428571428571427
West Rouge,0.32142857142857145
Westminster-Branson,0.03571428571428571
Weston,0.32142857142857145
Weston-Pelham Park,0.10714285714285714
Wexford/Maryvale,0.21428571428571427
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.2857142857142857
Woburn North,0.17857142857142858
Woodbine Corridor,0.0
Woodbine-Lumsden,0.10714285714285714
Wychwood,0.0
Yonge-Bay Corridor,0.17857142857142858
Yonge-Doris,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.39285714285714285
Yorkdale-Glen Park,0.2857142857142857
