NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.019230769230769232
Agincourt South-Malvern West,0.07692307692307693
Alderwood,0.0
Annex,0.038461538461538464
Avondale,0.0
Banbury-Don Mills,0.038461538461538464
Bathurst Manor,0.019230769230769232
Bay-Cloverhill,0.0
Bayview Village,0.17307692307692307
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.038461538461538464
Beechborough-Greenbrook,0.25
Bendale South,0.0
Bendale-Glen Andrew,0.17307692307692307
Birchcliffe-Cliffside,0.038461538461538464
Black Creek,0.34615384615384615
Blake-Jones,0.21153846153846154
Briar Hill-Belgravia,0.038461538461538464
Bridle Path-Sunnybrook-York Mills,0.0
Broadview North,0.0
Brookhaven-Amesbury,0.19230769230769232
Cabbagetown-South St.James Town,0.0
Caledonia-Fairbank,0.09615384615384616
Casa Loma,0.038461538461538464
Centennial Scarborough,0.0
Church-Wellesley,0.038461538461538464
Clairlea-Birchmount,0.17307692307692307
Clanton Park,0.038461538461538464
Cliffcrest,0.0
Corso Italia-Davenport,0.11538461538461539
Danforth,0.0
Danforth East York,0.07692307692307693
Don Valley Village,0.09615384615384616
Dorset Park,0.11538461538461539
Dovercourt Village,0.09615384615384616
Downsview,0.25
Downtown Yonge East,0.019230769230769232
Dufferin Grove,0.0
East End-Danforth,0.0
East L'Amoreaux,0.038461538461538464
East Willowdale,0.038461538461538464
Edenbridge-Humber Valley,0.038461538461538464
Eglinton East,0.1346153846153846
Elms-Old Rexdale,0.019230769230769232
Englemount-Lawrence,0.21153846153846154
Eringate-Centennial-West Deane,0.07692307692307693
Etobicoke City Centre,0.1346153846153846
Etobicoke West Mall,0.1346153846153846
Fenside-Parkwoods,0.019230769230769232
Flemingdon Park,0.19230769230769232
Forest Hill North,0.0
Forest Hill South,0.0
Fort York-Liberty Village,0.019230769230769232
Glenfield-Jane Heights,1.0
Golfdale-Cedarbrae-Woburn,0.3076923076923077
Greenwood-Coxwell,0.09615384615384616
Guildwood,0.0
Harbourfront-CityPlace,0.11538461538461539
Henry Farm,0.07692307692307693
High Park North,0.0
High Park-Swansea,0.15384615384615385
Highland Creek,0.057692307692307696
Hillcrest Village,0.1346153846153846
Humber Bay Shores,0.0
Humber Heights-Westmount,0.09615384615384616
Humber Summit,0.11538461538461539
Humbermede,0.21153846153846154
Humewood-Cedarvale,0.0
Ionview,0.038461538461538464
Islington,0.07692307692307693
Junction Area,0.07692307692307693
Junction-Wallace Emerson,0.09615384615384616
Keelesdale-Eglinton West,0.11538461538461539
Kennedy Park,0.019230769230769232
Kensington-Chinatown,0.25
Kingsview Village-The Westway,0.36538461538461536
Kingsway South,0.0
L'Amoreaux West,0.07692307692307693
Lambton Baby Point,0.057692307692307696
Lansing-Westgate,0.057692307692307696
Lawrence Park North,0.0
Lawrence Park South,0.038461538461538464
Leaside-Bennington,0.0
Little Portugal,0.0
Long Branch,0.0
Malvern East,0.15384615384615385
Malvern West,0.15384615384615385
Maple Leaf,0.0
Markland Wood,0.0
Milliken,0.0
Mimico-Queensway,0.0
Morningside,0.038461538461538464
Morningside Heights,0.057692307692307696
Moss Park,0.1346153846153846
Mount Dennis,0.07692307692307693
Mount Olive-Silverstone-Jamestown,0.5961538461538461
Mount Pleasant East,0.0
New Toronto,0.0
Newtonbrook East,0.0
Newtonbrook West,0.0
North Riverdale,0.07692307692307693
North St.James Town,0.07692307692307693
North Toronto,0.0
O'Connor-Parkview,0.15384615384615385
Oakdale-Beverley Heights,0.25
Oakridge,0.1346153846153846
Oakwood Village,0.28846153846153844
Old East York,0.0
Palmerston-Little Italy,0.0
Parkwoods-O'Connor Hills,0.0
Pelmo Park-Humberlea,0.1346153846153846
Playter Estates-Danforth,0.0
Pleasant View,0.019230769230769232
Princess-Rosethorn,0.038461538461538464
Regent Park,0.28846153846153844
Rexdale-Kipling,0.038461538461538464
Rockcliffe-Smythe,0.09615384615384616
Roncesvalles,0.0
Rosedale-Moore Park,0.0
Runnymede-Bloor West Village,0.0
Rustic,0.15384615384615385
Scarborough Village,0.11538461538461539
South Eglinton-Davisville,0.057692307692307696
South Parkdale,0.23076923076923078
South Riverdale,0.23076923076923078
St Lawrence-East Bayfront-The Islands,0.038461538461538464
St.Andrew-Windfields,0.0
Steeles,0.0
Stonegate-Queensway,0.019230769230769232
Tam O'Shanter-Sullivan,0.21153846153846154
Taylor-Massey,0.038461538461538464
The Beaches,0.0
Thistletown-Beaumond Heights,0.07692307692307693
Thorncliffe Park,0.21153846153846154
Trinity-Bellwoods,0.11538461538461539
University,0.038461538461538464
Victoria Village,0.19230769230769232
Wellington Place,0.40384615384615385
West Hill,0.23076923076923078
West Humber-Clairville,0.3076923076923077
West Queen West,0.038461538461538464
West Rouge,0.038461538461538464
Westminster-Branson,0.0
Weston,0.4423076923076923
Weston-Pelham Park,0.038461538461538464
Wexford/Maryvale,0.15384615384615385
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.019230769230769232
Woburn North,0.21153846153846154
Woodbine Corridor,0.0
Woodbine-Lumsden,0.019230769230769232
Wychwood,0.09615384615384616
Yonge-Bay Corridor,0.15384615384615385
Yonge-Doris,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.6538461538461539
Yorkdale-Glen Park,0.15384615384615385
