NEIGHBOURHOOD_158,FATALITY_SCORE
Agincourt North,0.0
Agincourt South-Malvern West,0.1875
Alderwood,0.0
Annex,0.125
Avondale,0.0
Banbury-Don Mills,0.0
Bathurst Manor,0.0
Bay-Cloverhill,0.0
Bayview Village,0.0
Bayview Woods-Steeles,0.14583333333333334
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.14583333333333334
Bendale South,0.0
Bendale-Glen Andrew,0.16666666666666666
Birchcliffe-Cliffside,0.0
Black Creek,1.0
Blake-Jones,0.041666666666666664
Briar Hill-Belgravia,0.14583333333333334
Bridle Path-Sunnybrook-York Mills,0.0
Broadview North,0.0
Brookhaven-Amesbury,0.16666666666666666
Cabbagetown-South St.James Town,0.0
Caledonia-Fairbank,0.0
Casa Loma,0.0
Centennial Scarborough,0.0
Church-Wellesley,0.0
Clairlea-Birchmount,0.08333333333333333
Clanton Park,0.125
Cliffcrest,0.14583333333333334
Corso Italia-Davenport,0.0
Danforth,0.0
Danforth East York,0.020833333333333332
Don Valley Village,0.125
Dorset Park,0.2916666666666667
Dovercourt Village,0.020833333333333332
Downsview,0.020833333333333332
Downtown Yonge East,0.0625
Dufferin Grove,0.1875
East End-Danforth,0.08333333333333333
East L'Amoreaux,0.20833333333333334
East Willowdale,0.10416666666666667
Edenbridge-Humber Valley,0.0
Eglinton East,0.3958333333333333
Elms-Old Rexdale,0.4166666666666667
Englemount-Lawrence,0.0625
Eringate-Centennial-West Deane,0.041666666666666664
Etobicoke City Centre,0.0
Etobicoke West Mall,0.125
Fenside-Parkwoods,0.041666666666666664
Flemingdon Park,0.020833333333333332
Forest Hill North,0.0625
Forest Hill South,0.0
Fort York-Liberty Village,0.22916666666666666
Glenfield-Jane Heights,0.9375
Golfdale-Cedarbrae-Woburn,0.375
Greenwood-Coxwell,0.0
Guildwood,0.041666666666666664
Harbourfront-CityPlace,0.041666666666666664
Henry Farm,0.16666666666666666
High Park North,0.0
High Park-Swansea,0.041666666666666664
Highland Creek,0.0
Hillcrest Village,0.041666666666666664
Humber Bay Shores,0.10416666666666667
Humber Heights-Westmount,0.10416666666666667
Humber Summit,0.1875
Humbermede,0.10416666666666667
Humewood-Cedarvale,0.0
Ionview,0.08333333333333333
Islington,0.08333333333333333
Junction Area,0.020833333333333332
Junction-Wallace Emerson,0.041666666666666664
Keelesdale-Eglinton West,0.10416666666666667
Kennedy Park,0.25
Kensington-Chinatown,0.1875
Kingsview Village-The Westway,0.041666666666666664
Kingsway South,0.0
L'Amoreaux West,0.125
Lambton Baby Point,0.0
Lansing-Westgate,0.020833333333333332
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.041666666666666664
Little Portugal,0.020833333333333332
Long Branch,0.0
Malvern East,0.375
Malvern West,0.2708333333333333
Maple Leaf,0.10416666666666667
Markland Wood,0.0
Milliken,0.16666666666666666
Mimico-Queensway,0.0625
Morningside,0.08333333333333333
Morningside Heights,0.1875
Moss Park,0.14583333333333334
Mount Dennis,0.0625
Mount Olive-Silverstone-Jamestown,0.5833333333333334
Mount Pleasant East,0.0
New Toronto,0.125
Newtonbrook East,0.041666666666666664
Newtonbrook West,0.125
North Riverdale,0.0
North St.James Town,0.020833333333333332
North Toronto,0.0
O'Connor-Parkview,0.0625
Oakdale-Beverley Heights,0.2708333333333333
Oakridge,0.020833333333333332
Oakwood Village,0.4166666666666667
Old East York,0.0
Palmerston-Little Italy,0.0
Parkwoods-O'Connor Hills,0.0
Pelmo Park-Humberlea,0.10416666666666667
Playter Estates-Danforth,0.0
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,0.5416666666666666
Rexdale-Kipling,0.125
Rockcliffe-Smythe,0.5416666666666666
Roncesvalles,0.125
Rosedale-Moore Park,0.0
Runnymede-Bloor West Village,0.0
Rustic,0.020833333333333332
Scarborough Village,0.125
South Eglinton-Davisville,0.041666666666666664
South Parkdale,0.14583333333333334
South Riverdale,0.20833333333333334
St Lawrence-East Bayfront-The Islands,0.10416666666666667
St.Andrew-Windfields,0.041666666666666664
Steeles,0.041666666666666664
Stonegate-Queensway,0.041666666666666664
Tam O'Shanter-Sullivan,0.0625
Taylor-Massey,0.0
The Beaches,0.0
Thistletown-Beaumond Heights,0.0
Thorncliffe Park,0.10416666666666667
Trinity-Bellwoods,0.0
University,0.020833333333333332
Victoria Village,0.0625
Wellington Place,0.4375
West Hill,0.14583333333333334
West Humber-Clairville,0.5416666666666666
West Queen West,0.0
West Rouge,0.08333333333333333
Westminster-Branson,0.08333333333333333
Weston,0.1875
Weston-Pelham Park,0.22916666666666666
Wexford/Maryvale,0.10416666666666667
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.22916666666666666
Woburn North,0.3125
Woodbine Corridor,0.041666666666666664
Woodbine-Lumsden,0.0
Wychwood,0.0
Yonge-Bay Corridor,0.14583333333333334
Yonge-Doris,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,0.020833333333333332
York University Heights,0.75
Yorkdale-Glen Park,0.4375
