NEIGHBOURHOOD_158,X,Y
Agincourt North,-79.26646233818181,43.804763758454584
Agincourt South-Malvern West,-79.26241668924324,43.78764295994599
Alderwood,-79.54146152183331,43.602379337333396
Annex,-79.40140659609087,43.67028474704551
Avondale,-79.40628802349995,43.757383676500055
Banbury-Don Mills,-79.34356156407141,43.73482302842863
Bathurst Manor,-79.46381536024998,43.76833428375005
Bay-Cloverhill,-79.38688856474994,43.666089557250054
Bayview Village,-79.37554992053327,43.7715929248667
Bayview Woods-Steeles,-79.37266148990908,43.791320634
Bedford Park-Nortown,-79.42620258211109,43.729974246888936
Beechborough-Greenbrook,-79.4759714151212,43.692502798333386
Bendale South,-79.25273474393747,43.750482343000066
Bendale-Glen Andrew,-79.25887325958328,43.76284959443753
Birchcliffe-Cliffside,-79.26475566157139,43.697112517714345
Black Creek,-79.51732124808872,43.765863136034554
Blake-Jones,-79.33925373999995,43.674701598538526
Briar Hill-Belgravia,-79.44908219614814,43.69718810681487
Bridle Path-Sunnybrook-York Mills,-79.37131988390908,43.72577583681826
Broadview North,-79.35111744771429,43.689670170285765
Brookhaven-Amesbury,-79.49161480554834,43.70039498261299
Cabbagetown-South St.James Town,-79.36913421424998,43.66548296125006
Caledonia-Fairbank,-79.45508357922222,43.690943375444526
Casa Loma,-79.41707274666663,43.681090861333395
Centennial Scarborough,-79.15355937849999,43.78844999166671
Church-Wellesley,-79.38362756299998,43.66652529041673
Clairlea-Birchmount,-79.28270365247273,43.71665354943641
Clanton Park,-79.4460096010625,43.74142336093757
Cliffcrest,-79.23581917309522,43.722559358523846
Corso Italia-Davenport,-79.44723790105265,43.677902472052686
Danforth,-79.33187625161109,43.68216602138893
Danforth East York,-79.33875883962496,43.68746844800005
Don Valley Village,-79.35033732203568,43.781221153107204
Dorset Park,-79.28188747780771,43.76302534519237
Dovercourt Village,-79.42711808669227,43.6644017372308
Downsview,-79.47956729592678,43.73430004324395
Downtown Yonge East,-79.37822776021564,43.65539283249026
Dufferin Grove,-79.44058434252378,43.656048491904826
East End-Danforth,-79.30170674132252,43.68630926616133
East L'Amoreaux,-79.30621877648832,43.79785895237214
East Willowdale,-79.40230512972727,43.77300859454547
Edenbridge-Humber Valley,-79.52067453591661,43.67470899666676
Eglinton East,-79.24480265607495,43.740138683400055
Elms-Old Rexdale,-79.5488025870147,43.7241923042942
